year,city,country,avg_temp
1841,Fuzhou,China,17.69
1842,Fuzhou,China,18.07
1843,Fuzhou,China,18.17
1844,Fuzhou,China,17.85
1845,Fuzhou,China,17.93
1846,Fuzhou,China,18.46
1847,Fuzhou,China,18.25
1848,Fuzhou,China,17.67
1849,Fuzhou,China,18.04
1850,Fuzhou,China,18.26
1851,Fuzhou,China,18.18
1852,Fuzhou,China,18.25
1853,Fuzhou,China,18.63
1854,Fuzhou,China,18.61
1855,Fuzhou,China,18.25
1856,Fuzhou,China,17.90
1857,Fuzhou,China,18.37
1858,Fuzhou,China,18.03
1859,Fuzhou,China,18.25
1860,Fuzhou,China,18.00
1861,Fuzhou,China,17.99
1862,Fuzhou,China,17.18
1863,Fuzhou,China,17.76
1864,Fuzhou,China,17.58
1865,Fuzhou,China,18.50
1866,Fuzhou,China,18.20
1867,Fuzhou,China,18.56
1868,Fuzhou,China,18.57
1869,Fuzhou,China,18.63
1870,Fuzhou,China,18.69
1871,Fuzhou,China,18.78
1872,Fuzhou,China,18.72
1873,Fuzhou,China,18.29
1874,Fuzhou,China,18.39
1875,Fuzhou,China,18.15
1876,Fuzhou,China,18.01
1877,Fuzhou,China,18.27
1878,Fuzhou,China,18.31
1879,Fuzhou,China,18.62
1880,Fuzhou,China,17.87
1881,Fuzhou,China,18.20
1882,Fuzhou,China,18.03
1883,Fuzhou,China,17.93
1884,Fuzhou,China,17.52
1885,Fuzhou,China,17.61
1886,Fuzhou,China,17.54
1887,Fuzhou,China,18.17
1888,Fuzhou,China,18.55
1889,Fuzhou,China,18.19
1890,Fuzhou,China,18.63
1891,Fuzhou,China,18.29
1892,Fuzhou,China,18.11
1893,Fuzhou,China,17.78
1894,Fuzhou,China,18.47
1895,Fuzhou,China,17.97
1896,Fuzhou,China,18.37
1897,Fuzhou,China,18.41
1898,Fuzhou,China,18.56
1899,Fuzhou,China,18.11
1900,Fuzhou,China,18.34
1901,Fuzhou,China,17.98
1902,Fuzhou,China,18.73
1903,Fuzhou,China,18.02
1904,Fuzhou,China,18.04
1905,Fuzhou,China,18.10
1906,Fuzhou,China,18.44
1907,Fuzhou,China,18.22
1908,Fuzhou,China,18.36
1909,Fuzhou,China,18.58
1910,Fuzhou,China,18.12
1911,Fuzhou,China,18.21
1912,Fuzhou,China,18.13
1913,Fuzhou,China,18.11
1914,Fuzhou,China,18.74
1915,Fuzhou,China,18.82
1916,Fuzhou,China,18.51
1917,Fuzhou,China,17.77
1918,Fuzhou,China,18.06
1919,Fuzhou,China,18.46
1920,Fuzhou,China,18.34
1921,Fuzhou,China,18.47
1922,Fuzhou,China,18.78
1923,Fuzhou,China,18.60
1924,Fuzhou,China,18.42
1925,Fuzhou,China,18.20
1926,Fuzhou,China,18.62
1927,Fuzhou,China,18.26
1928,Fuzhou,China,18.71
1929,Fuzhou,China,18.67
1930,Fuzhou,China,18.72
1931,Fuzhou,China,18.57
1932,Fuzhou,China,18.36
1933,Fuzhou,China,18.34
1934,Fuzhou,China,18.29
1935,Fuzhou,China,18.72
1936,Fuzhou,China,18.16
1937,Fuzhou,China,18.95
1938,Fuzhou,China,19.12
1939,Fuzhou,China,18.42
1940,Fuzhou,China,18.44
1941,Fuzhou,China,19.13
1942,Fuzhou,China,18.83
1943,Fuzhou,China,18.82
1944,Fuzhou,China,18.91
1945,Fuzhou,China,18.39
1946,Fuzhou,China,19.59
1947,Fuzhou,China,18.54
1948,Fuzhou,China,19.18
1949,Fuzhou,China,19.05
1950,Fuzhou,China,18.68
1951,Fuzhou,China,18.93
1952,Fuzhou,China,19.02
1953,Fuzhou,China,19.13
1954,Fuzhou,China,18.84
1955,Fuzhou,China,18.56
1956,Fuzhou,China,18.60
1957,Fuzhou,China,18.52
1958,Fuzhou,China,18.77
1959,Fuzhou,China,19.13
1960,Fuzhou,China,19.18
1961,Fuzhou,China,19.24
1962,Fuzhou,China,18.47
1963,Fuzhou,China,19.10
1964,Fuzhou,China,19.06
1965,Fuzhou,China,18.71
1966,Fuzhou,China,19.27
1967,Fuzhou,China,18.73
1968,Fuzhou,China,18.67
1969,Fuzhou,China,18.52
1970,Fuzhou,China,18.56
1971,Fuzhou,China,18.70
1972,Fuzhou,China,18.71
1973,Fuzhou,China,18.80
1974,Fuzhou,China,18.63
1975,Fuzhou,China,18.89
1976,Fuzhou,China,18.32
1977,Fuzhou,China,19.08
1978,Fuzhou,China,18.92
1979,Fuzhou,China,19.13
1980,Fuzhou,China,18.78
1981,Fuzhou,China,18.63
1982,Fuzhou,China,18.73
1983,Fuzhou,China,19.08
1984,Fuzhou,China,18.29
1985,Fuzhou,China,18.78
1986,Fuzhou,China,18.71
1987,Fuzhou,China,19.07
1988,Fuzhou,China,18.76
1989,Fuzhou,China,18.99
1990,Fuzhou,China,19.33
1991,Fuzhou,China,19.15
1992,Fuzhou,China,18.51
1993,Fuzhou,China,18.84
1994,Fuzhou,China,19.51
1995,Fuzhou,China,18.77
1996,Fuzhou,China,18.96
1997,Fuzhou,China,19.31
1998,Fuzhou,China,20.03
1999,Fuzhou,China,19.39
2000,Fuzhou,China,19.33
2001,Fuzhou,China,19.47
2002,Fuzhou,China,19.85
2003,Fuzhou,China,19.77
2004,Fuzhou,China,19.52
2005,Fuzhou,China,19.17
2006,Fuzhou,China,19.76
2007,Fuzhou,China,19.84
2008,Fuzhou,China,19.34
2009,Fuzhou,China,19.53
2010,Fuzhou,China,19.12
2011,Fuzhou,China,18.91
2012,Fuzhou,China,19.01
2013,Fuzhou,China,19.36
